WellID,BVHH,FormationAlias,NioGOR,CodGOR,LateralLength,ProppantPerFoot,FluidPerFoot,LeftDistance,LeftNeighbourType,RightDistance,RightNeighbourType,TVD,NormalizedOilEUR,NormalizedGasEUR
0512335285,0.502423438,CODELL,5010.165661,3763.576792,4611,,,,NoNeighbour,4487,Codeveloped,7164,18.78442854,97.20407721
0512335286,1.110419689,NIOBRARA,1121.97373,,4061,902.2408274,697.0556513,,NoNeighbour,578,Codeveloped,5688,47.23294755,54.76779118
0512335287,1.105141117,NIOBRARA,1133.968845,,4040,0,0.027722772,578,Codeveloped,681,Codeveloped,5713,53.93118812,74.40222772
0512335288,1.08292335,NIOBRARA,1160.404342,,3938,0,0.030218385,681,Codeveloped,4061,Codeveloped,5676,54.77120366,70.64220416
0512335292,0.648383854,NIOBRARA,3394.646037,2781.710489,4171,863.1023735,605.3083193,336,Codeveloped,,NoNeighbour,6330,12.97626468,59.78662191
0512335294,0.294473438,CODELL,3394.646037,2756.082408,4268,844.4236176,599.9564199,658,Codeveloped,,NoNeighbour,6516,15.3024836,45.69985942
0512335298,0.666006122,NIOBRARA,3534.587166,2812.292777,4240,884.9056604,600.7683962,331,Codeveloped,336,Codeveloped,6375,18.49245283,92.56933962
0512335328,0.744366667,NIOBRARA,6061.730279,6839.462956,4096,964.3554688,713.2001953,537,Codeveloped,,NoNeighbour,7303,30.85205078,185.6264648
0512335329,0.827854688,NIOBRARA,3377.471245,3092.376895,4061,987.4415169,722.1910859,323,Codeveloped,354,Codeveloped,6668,17.47672987,78.81974883
0512335330,0.846066837,NIOBRARA,3334.41726,3106.163277,4082,930.4262616,766.8138168,354,Codeveloped,320,Codeveloped,6653,14.29691328,66.98187163
0512335331,0.81078125,NIOBRARA,3435.359192,3075.491899,4136,,,336,Codeveloped,323,Codeveloped,6673,15.04182785,79.07954545
0512335332,0.79595202,NIOBRARA,3424.500801,3057.046552,4108,980.0389484,763.1976631,315,Codeveloped,336,Codeveloped,6724,22.05331061,100.4325706
0512335333,0.87107732,NIOBRARA,3258.891879,3119.018434,3950,946.835443,782.4334177,367,Codeveloped,371,Codeveloped,6603,19.94050633,85.82582278
0512335334,0.861748438,NIOBRARA,3295.055566,3107.37626,4106,,,320,Codeveloped,367,Codeveloped,6584,15.84291281,61.95299562
0512335336,0.770048438,NIOBRARA,3475.496447,3035.572303,3968,,,329,Codeveloped,315,Codeveloped,6633,14.35962702,72.46673387
0512335337,0.885596447,NIOBRARA,3225.306839,3129.270052,4016,947.2111554,781.1414343,371,Codeveloped,317,Codeveloped,6589,14.65463147,56.72161355
0512335339,0.909966495,NIOBRARA,3133.531551,3141.26554,4007,971.7993511,751.2727726,344,Codeveloped,382,Codeveloped,6583,14.72672823,42.62066384
0512335340,0.898696447,NIOBRARA,3163.23578,3140.668644,3721,962.6444504,744.4869659,331,Codeveloped,344,Codeveloped,6485,18.00833109,83.75839828
0512335341,0.904270051,CODELL,3163.23578,3140.668644,4031,,,,NoNeighbour,598,Codeveloped,6744,11.93897296,33.89878442
0512335342,0.916003061,NIOBRARA,3104.051043,3138.188475,3745,985.3137517,798.6616822,382,Codeveloped,4977,Parent,6500,22.13724967,94.76315087
0512335345,1.192425521,NIOBRARA,11565.47623,14243.50914,6010,913.4775374,658.0302829,,NoNeighbour,,NoNeighbour,7048,17.56455907,256.2455907
0512335352,0.908801031,NIOBRARA,3412.380323,3263.833761,4064,906.496063,484.5501969,,NoNeighbour,399,Codeveloped,7263,16.1363189,71.46825787
0512335355,1.798170313,NIOBRARA,4529.138044,3515.251166,8953,565.8438512,688.4800625,550,Codeveloped,,NoNeighbour,6882,16.17524852,114.2191444
0512335356,1.835967876,NIOBRARA,4724.812312,3519.814931,8760,,,414,Codeveloped,550,Codeveloped,6880,14.07728311,107.1256849
0512335357,0.281381865,NIOBRARA,1919.338242,,5898,,,,NoNeighbour,,NoNeighbour,6172,7.568158698,11.76483554
0512335359,1.358491192,NIOBRARA,4244.134609,3441.933378,4383,,,,NoNeighbour,,NoNeighbour,6951,13.21332421,84.46634725
0512335394,0.768886979,NIOBRARA,23160.48601,2951.156214,4492,,,,NoNeighbour,,NoNeighbour,6399,20.83570793,75.13535174
0512335395,0.808169271,NIOBRARA,2233.933988,2017.219116,8856,693.5411021,1229.718835,,NoNeighbour,2461,Codeveloped,6488,21.91023035,60.51106594
0512335396,0.912441667,NIOBRARA,2251.220353,2243.765629,4143,,,2461,Codeveloped,4330,Parent,6482,21.74221579,44.07120444
0512335397,0.648828571,NIOBRARA,1877.222281,649.681784,3699,797.5128413,621.3592863,,NoNeighbour,,NoNeighbour,7315,2.633414436,3.936198973
0512335406,0.386209375,CODELL,2653.193274,2883.886855,4218,822.66477,664.0440967,,NoNeighbour,,NoNeighbour,6731,16.03674727,63.32408725
0512335408,1.054753646,NIOBRARA,2638.179305,2761.599617,4182,175.7532281,547.5566714,752,Codeveloped,,NoNeighbour,6542,9.047584888,25.8567671
0512335410,1.007328796,NIOBRARA,2637.125907,3008.105733,4112,20.57490272,625.6386187,,NoNeighbour,824,Codeveloped,6574,19.30034047,71.23200389
0512335413,1.292752041,NIOBRARA,3429.400016,2683.504583,4528,,,941,Codeveloped,1032,Codeveloped,7046,31.95914311,149.5205389
0512335443,0.673658031,NIOBRARA,2279.391796,2157.029383,4272,,,,NoNeighbour,,NoNeighbour,6274,25.29143258,100.4803371
0512335445,1.270310417,NIOBRARA,2465.927049,1668.880962,4023,883.4203331,611.6987323,410,Codeveloped,,NoNeighbour,6765,13.82053194,43.47203579
0512335446,1.289315625,NIOBRARA,2570.067842,1734.98715,3995,916.6458073,619.1609512,,NoNeighbour,561,Codeveloped,6767,19.31664581,63.86357947
0512335452,1.649813089,NIOBRARA,5720.030069,3923.398372,4150,670.8433735,658.9026506,676,Codeveloped,,NoNeighbour,6934,8.028192771,75.25903614
0512335453,1.587225,NIOBRARA,5782.360166,4006.593406,4246,,,492,Codeveloped,676,Codeveloped,6978,13.99434762,116.5664154
0512335454,1.545957292,NIOBRARA,5807.340362,4090.411938,4248,,,720,Codeveloped,492,Codeveloped,6896,11.94303202,66.23234463
0512335457,1.495561979,NIOBRARA,5788.875736,4205.641603,4238,463.8980651,780.2704106,5242,Codeveloped,720,Codeveloped,6898,18.00991034,162.5422369
0512335458,0.488564063,CODELL,5807.602666,4130.807084,4351,553.8956562,502.1755918,5207,Codeveloped,,NoNeighbour,7126,17.31900712,84.47621236
0512335460,1.569404615,NIOBRARA,7239.824893,6373.326258,6980,666.1891117,560.3106017,652,Codeveloped,1332,Parent,7138,21.45830946,223.0232092
0512335463,1.802833508,NIOBRARA,4686.600289,6054.672104,4075,806.8711656,544.3818405,,NoNeighbour,,NoNeighbour,6938,25.48122699,148.2255215
0512335465,0.994639791,NIOBRARA,4903.813657,12026.62853,3995,831.5394243,729.4227785,,NoNeighbour,,NoNeighbour,7195,16.26082603,91.97346683
0512335466,1.584412953,CODELL,4982.088568,5769.978406,4059,712.4907613,642.0960828,,NoNeighbour,,NoNeighbour,7000,15.25893077,128.1431387
0512335474,1.303607772,NIOBRARA,3265.714404,2680.060929,4094,,,830,Codeveloped,,NoNeighbour,7038,25.42427943,116.4147533
0512335475,0.452469271,NIOBRARA,8938.189969,2207.005488,3836,776.8508863,662.6837852,,NoNeighbour,,NoNeighbour,6661,2.436131387,4.428050052
0512335476,1.284351531,NIOBRARA,3371.983031,2691.151429,4500,,,1032,Codeveloped,830,Codeveloped,7035,30.13955556,119.7022222
0512335490,1.733393264,NIOBRARA,4906.671764,6065.000786,4154,619.1622532,749.8830043,679,Codeveloped,824,Codeveloped,7225,27.6376986,149.8086182
0512335491,1.713777835,NIOBRARA,5030.530099,6429.610526,4223,450.8643145,757.0641724,824,Codeveloped,3041,Parent,7278,19.84963296,118.1136633
0512335493,1.789434896,NIOBRARA,4687.037148,5536.191966,4352,414.0625,701.1741728,5168,Parent,609,Codeveloped,7265,28.21576287,126.7571232
0512335494,1.774571277,NIOBRARA,4802.989572,5835.938402,4260,628.6384977,719.5211268,609,Codeveloped,679,Codeveloped,7184,26.74694836,138.8838028
0512335495,0.940958065,CODELL,4856.722385,5948.307492,4182,453.3715925,862.9081779,,NoNeighbour,4589,Parent,7396,18.67503587,138.3821138
0512335499,0.311337879,NIOBRARA,1273.111679,,6173,1212.217236,1191.301798,,NoNeighbour,1253,Parent,6158,17.62125385,29.1767374
0512335500,0.753114583,NIOBRARA,1560.267273,,3804,1128.135121,1035.536278,,NoNeighbour,589,Codeveloped,6119,10.04521556,28.17113565
0512335502,2.044189947,NIOBRARA,4989.188842,7650.93577,4578,,,,NoNeighbour,,NoNeighbour,6988,26.55373526,187.4681083
0512335524,1.009183505,NIOBRARA,2580.278483,2843.613494,4023,944.5687298,722.059657,660,Codeveloped,640,Codeveloped,6618,28.04648272,110.0298285
0512335525,0.960234359,NIOBRARA,2498.568667,2758.065652,4111,881.0508392,729.7538312,681,Codeveloped,643,Codeveloped,6568,34.45293116,135.63099
0512335526,0.988951282,NIOBRARA,2537.761134,2801.642984,4084,934.3780607,732.06905,640,Codeveloped,681,Codeveloped,6558,36.79113614,145.5161606
0512335527,1.023250769,NIOBRARA,2626.757057,2863.669002,4063,,,,NoNeighbour,660,Codeveloped,6575,33.59365001,124.3369431
0512335534,0.904703093,NIOBRARA,3833.207639,2685.573966,3931,21.24217756,642.6502162,474,Codeveloped,660,Codeveloped,6650,18.83642839,90.2414144
0512335535,0.359512698,CODELL,3893.377782,2668.201147,4065,19.62115621,644.4236162,,NoNeighbour,,NoNeighbour,6744,23.17293973,85.49225092
